,City,Lat,Lng,Max Temp,Humidity,Cloud Coverage,Wind Speed,Country,Date
380,mandalgovi,45.76,106.27,75.58,31,100,4.03,MN,1593843121
381,antofagasta,-23.65,-70.4,59,72,90,2.24,CL,1593843122
382,norsup,-16.07,167.38,78.8,78,75,3.36,VU,1593843122
383,najran,17.49,44.13,86,37,40,6.93,SA,1593843123
384,xai-xai,-25.05,33.64,64.74,87,7,4.9,MZ,1593843124
385,hofn,64.25,-15.21,43.07,70,100,7.63,IS,1593843124
386,gladstone,-23.85,151.25,73.4,16,0,9.17,AU,1593843125
387,itoman,26.12,127.67,87.8,79,75,11.41,JP,1593842851
388,calvinia,-31.47,19.78,48.61,48,20,5.3,ZA,1593843126
389,cockburn town,21.46,-71.14,82.78,84,2,16.8,TC,1593843127
390,beringovskiy,63.05,179.32,43.29,97,100,15.14,RU,1593843127
391,naron,43.52,-8.15,51.8,93,44,1.12,ES,1593843128
392,kupang,-10.17,123.58,84.33,61,23,16.67,ID,1593843129
393,wahiawa,21.5,-158.02,82,73,20,3.36,US,1593843129
394,bozoum,6.32,16.38,71.2,89,94,2.19,CF,1593842610
395,katobu,-4.94,122.53,80.06,84,53,8.3,ID,1593843131
396,torbay,47.67,-52.73,46.99,87,90,2.24,CA,1593843131
397,tautira,-17.73,-149.15,78.8,83,40,11.41,PF,1593843132
398,austin,30.27,-97.74,82.4,65,1,4.7,US,1593843075
399,bull savanna,17.89,-77.59,76.01,87,28,7.9,JM,1593843133
400,marion,39.77,-86.16,78.8,65,1,3.36,US,1593843043
401,prince rupert,54.32,-130.32,55.4,93,90,2.24,CA,1593843008
402,khromtau,50.25,58.43,77.02,46,14,14.34,KZ,1593843135
403,kachug,53.96,105.88,86.59,32,52,6.35,RU,1593843125
404,buta,2.79,24.73,72.91,95,94,0.25,CD,1593843136
